NAME	NUMMER	SONDER-SUFFIX	SONDER-TITEL	DATUM	ZEIT	ORT	PERSONEN	SAETZE-VON	SAETZE-BIS	EINLEITUNG
0a-sfath	0	a-sfath	Sfaths Erklärung	1945-02-03	12:10:00		Eduard, Sfath	Sfa1	Sfa191	Erklärung an den acht Jahre alten Eduard. Zuvor zwei einführende Kapitel Wie alles begann und Meine erste UFO-Sichtung und die ersten danach folgenden Kontakte.
0b-asket1	0	a-asket1	Askets Erklärungen 3. Februar	1953-02-03			Billy, Asket	Ask1	Ask262	Zuvor eine längere Erklärung von Billy über die ersten Sichtungen von fliegenden Untertassen und Kontakt mit Sfath sowie zur Bekanntschaft mit Asket. [TODO Inhalt genauer] Sie sind zeitmäßig vor KB31 gelegen, aber im PPK-Block nach diesem eingetragen, vermutlich weil sie von Billy nach Verlust der Papieraufzeichnungen nachgetragen wurden. Sie sind daher in diesem Register in zeitlicher Reihenfolge eingeordnet.
0c-asket2	0	b-asket2	Askets Erklärungen 4. Februar	1953-02-04			Billy, Asket	Ask1	Ask47	Zuvor eine Erklärung über die vorherigen Erklärungen und Ausführungen von Asket. TODO sollen diese Erklärungen ebenfalls aufgeführt und verstichwortet werden?
0d-asket3	0	c-asket3	Askets Erklärungen 7. Februar	1953-02-07			Billy, Asket	Ask1	Ask124	Zuvor wieder eine Erklärung über die vorherigen Erklärungen und Ausführungen von Asket.
0e-asket4	0	d-asket4	Askets Erklärungen 8. Februar	1953-02-08			Eduard, Asket, Jitschi, Jechieli	Ask1	Ask74	Zuvor wieder eine, aber kurze, Erklärung über die vorherigen Erklärungen von Asket und Auftakt zum unerwarteten Treffen mit einem unerwarteten Besucher.
0f-asket5	0	e-asket5	Askets Erklärungen 9. Februar	1953-02-09		Cheops-Pyramide von Gizeh in Ägypten	Eduard, Asket	Ask1	Ask27	Zuvor eine Erklärung über die Zeitreise und die vorherigen Ereignisse zusammen mit Asket.
0g-asket6	0	f-asket6	Askets Erklärungen 11. Februar	1953-02-11			Eduard, Asket	Ask1	Ask16	
0h-asket7	0	g-asket7	Askets Erklärungen 14. Februar	1953-02-14		Wüstengebirge am Toten Meer in Jordanien	Eduard, Asket, Jitschi, Jmmanuel	Ask1	Jmm258	Zuvor eine Erklärung über die von Asket erhaltenen Erklärungen, vor allem über geheim zu haltende. Nach dieser Erklärung und dem Zeitreise-Besuch bei Jmmanuel folgen zwei kurze abschließende Erklärungen von Billy.
1a-einführung	1	a-einführung	Erste Unterhaltung / Einführungskonversation	1975-01-28	14:34:00	Hinwil	Billy, Semjase	Sem1	Sem22	Diese Konversation findet vor Semjases Erklärungen statt. Die Sätze sind nicht offiziell nummeriert, daher Semjases Sätze in Selbstregie nummeriert.
1	1		Semjases Erklärungen	1975-01-28	14:34:00	Hinwil	Billy, Semjase	Sem1	Sem79	Diese Erklärungen sind Teil von KB1.
